2005-06 Percent of Low Income by School,,,,
AUN,School Number,School Name,School Location,Percent
100510000,7744,First Phila CS For Literacy,Philadelphia/First Phila CS For Literacy,90
101260303,2115,A L Wilson El Sch,Fayette/Albert Gallatin Area SD,40.2
101260303,6001,Albert Gallatin Area SHS,Fayette/Albert Gallatin Area SD,60.6
101260303,7607,Albert Gallatin North MS,Fayette/Albert Gallatin Area SD,70.2
101260303,7608,Albert Gallatin South MS,Fayette/Albert Gallatin Area SD,72.9
101260303,2116,D Ferd Swaney El Sch,Fayette/Albert Gallatin Area SD,78.3
101260303,4922,Friendship Hill El Sch,Fayette/Albert Gallatin Area SD,71.8
101260303,2129,George J Plava El Sch,Fayette/Albert Gallatin Area SD,73.1
101260303,6002,Masontown El Sch,Fayette/Albert Gallatin Area SD,79
101260303,4921,Smithfield El Sch,Fayette/Albert Gallatin Area SD,57.2
101260803,4818,Brownsville Area HS,Fayette/Brownsville Area SD,41
101260803,2154,Brownsville Area MS,Fayette/Brownsville Area SD,62
101260803,2153,Cardale El Sch,Fayette/Brownsville Area SD,64
101260803,4725,Central El Sch,Fayette/Brownsville Area SD,60
101260803,5145,Cox-Donahey El Sch,Fayette/Brownsville Area SD,62
101261302,2097,Bullskin El Sch,Fayette/Connellsville Area SD,44.7
101261302,5047,Clifford N Pritts El Sch,Fayette/Connellsville Area SD,56.7
101261302,5228,Connellsville Area SHS,Fayette/Connellsville Area SD,41.1
101261302,2105,Connellsville JHS East,Fayette/Connellsville Area SD,52.3
101261302,2113,Connellsville JHS West,Fayette/Connellsville Area SD,52.4
101261302,2103,Connellsville Twp El Sch,Fayette/Connellsville Area SD,60.7
101261302,2107,Dunbar Boro El Sch,Fayette/Connellsville Area SD,70.5
101261302,5048,Dunbar Twp El Sch,Fayette/Connellsville Area SD,62.9
101261302,4819,South Side El Sch,Fayette/Connellsville Area SD,50.1
101261302,2172,Springfield El Sch,Fayette/Connellsville Area SD,67.3
101261302,4939,Zachariah Connell El Sch,Fayette/Connellsville Area SD,75.1
101262507,4842,Fayette County AVTS,Fayette/Fayette County AVTS,51.4
101262903,6687,Central El Sch,Fayette/Frazier SD,43
101262903,2126,Frazier HS,Fayette/Frazier SD,28
101262903,7176,Frazier MS,Fayette/Frazier SD,36
101262903,6686,Perry El Sch,Fayette/Frazier SD,37
101264003,2146,Clark El Sch,Fayette/Laurel Highlands SD,66.6
101264003,2163,Hatfield El Sch,Fayette/Laurel Highlands SD,24
101264003,4700,Hutchinson El Sch,Fayette/Laurel Highlands SD,56.2
101264003,5146,Laurel Highlands MS,Fayette/Laurel Highlands SD,58.8
101264003,6600,Laurel Highlands SHS,Fayette/Laurel Highlands SD,38.4
101264003,4820,Marshall El Sch,Fayette/Laurel Highlands SD,47.5
101266007,6643,North Fayette County AVTS,Fayette/North Fayette County AVTS,59.1
101268003,6933,A J McMullen Sch,Fayette/Uniontown Area SD,47.6
101268003,2182,Ben Franklin Sch,Fayette/Uniontown Area SD,50
101268003,6007,Franklin Sch,Fayette/Uniontown Area SD,38
101268003,7100,Lafayette Sch,Fayette/Uniontown Area SD,81
101268003,2137,Marclay Sch,Fayette/Uniontown Area SD,55
101268003,2139,Menallen Sch,Fayette/Uniontown Area SD,53
101268003,2184,Uniontown Area SHS,Fayette/Uniontown Area SD,62.2
101268003,2185,Wharton Sch,Fayette/Uniontown Area SD,45
101301303,7315,Carmichaels Area El Ctr,Greene/Carmichaels Area SD,25.2
101301303,7112,Carmichaels Area JSHS,Greene/Carmichaels Area SD,16.4
101301403,6010,Miller MS,Greene/Central Greene SD,43
101301403,2269,Perry El Sch,Greene/Central Greene SD,40
101301403,7476,Waynesburg Central El School,Greene/Central Greene SD,43
101301403,5118,Waynesburg Central HS,Greene/Central Greene SD,39
101302607,5282,Greene County CTC,Greene/Greene County CTC,36.4
101303503,7029,Jefferson-Morgan El Sch,Greene/Jefferson-Morgan SD,35
101303503,2280,Jefferson-Morgan MS/HS,Greene/Jefferson-Morgan SD,32
101306503,2271,Bobtown El Sch,Greene/Southeastern Greene SD,64
101306503,2284,Mapletown JSHS,Greene/Southeastern Greene SD,55
101308503,2285,Aleppo El Sch,Greene/West Greene SD,56.5
101308503,5332,Graysville El Sch,Greene/West Greene SD,45.1
101308503,2287,Springhill-Freeport El Sch,Greene/West Greene SD,56.2
101308503,7136,West Greene HS,Greene/West Greene SD,41.6
101308503,7496,West Greene MS,Greene/West Greene SD,49.6
101630504,4165,Avella Area JSHS,Washington/Avella Area SD,22.7
101630504,7098,Avella El Center,Washington/Avella Area SD,33.8
101630903,7494,Bentworth El Ctr,Washington/Bentworth SD,34.9
101630903,4189,Bentworth MS,Washington/Bentworth SD,23.4
101630903,4188,Bentworth SHS,Washington/Bentworth SD,20
101631003,6975,Bethlehem-Center El Sch,Washington/Bethlehem-Center SD,45.6
101631003,5267,Bethlehem-Center MS,Washington/Bethlehem-Center SD,49.8
101631003,4181,Bethlehem-Center SHS,Washington/Bethlehem-Center SD,45
101631203,7477,Burgettstown El Ctr,Washington/Burgettstown Area SD,34
101631203,4195,Burgettstown MS/HS,Washington/Burgettstown Area SD,22.5
101631503,7221,California Area El Sch,Washington/California Area SD,41
101631503,6939,California Area MS,Washington/California Area SD,36
101631503,4203,California Area SHS,Washington/California Area SD,32
101631703,4211,Borland Manor El Sch,Washington/Canon-McMillan SD,5.7
101631703,4217,Canon-McMillan SHS,Washington/Canon-McMillan SD,17.4
101631703,7217,Canonsburg MS,Washington/Canon-McMillan SD,24.2
101631703,4205,Cecil El Sch,Washington/Canon-McMillan SD,18.3
101631703,7216,Cecil Intrmd Sch,Washington/Canon-McMillan SD,28.8
101631703,4207,First Street El Sch,Washington/Canon-McMillan SD,41.5
101631703,4938,Hills-Hendersonville El Sch,Washington/Canon-McMillan SD,18.4
101631703,4210,Muse El Sch,Washington/Canon-McMillan SD,10.2
101631703,7764,North Strabane Intrmd Sch,Washington/Canon-McMillan SD,24.2
101631703,4937,South Central El,Washington/Canon-McMillan SD,29.8
101631703,4214,Wylandville El Sch,Washington/Canon-McMillan SD,14.1
101631803,7258,Charleroi Area El Ctr,Washington/Charleroi SD,44.2
101631803,4715,Charleroi Area HS,Washington/Charleroi SD,29.4
101631803,7157,Charleroi Area MS,Washington/Charleroi SD,43.5
101631903,4234,Allison Park El Sch,Washington/Chartiers-Houston SD,24.2
101631903,4235,Chartiers-Houston JSHS,Washington/Chartiers-Houston SD,17.7
101632403,7187,Fort Cherry El Ctr,Washington/Fort Cherry SD,35
