County,AUN,LEA,School Code,School,Oct 1 Enrollment Grades 7-12,Male Dropouts,Female Dropouts,Dropouts,Dropout Rate
Adams,112011103,Bermudian Springs SD,0003,Bermudian Springs HS,629,2,3,5,0.79%
Adams,112011103,Bermudian Springs SD,6921,Bermudian Springs MS,297,0,0,0,0.00%
Adams,112011603,Conewago Valley SD,7822,Conewago Valley Intrmd Sch,1,0,0,0,0.00%
Adams,112011603,Conewago Valley SD,9999,Conewago Valley SD,6,1,0,1,16.67%
Adams,112011603,Conewago Valley SD,6898,New Oxford MS,612,0,0,0,0.00%
Adams,112011603,Conewago Valley SD,0017,New Oxford SHS,"1,206",7,6,13,1.08%
Adams,112013054,Fairfield Area SD,6269,Fairfield Area HS,342,0,0,0,0.00%
Adams,112013054,Fairfield Area SD,7322,Fairfield Area MS,148,0,0,0,0.00%
Adams,112013753,Gettysburg Area SD,6271,Gettysburg Area HS,"1,108",6,3,9,0.81%
Adams,112013753,Gettysburg Area SD,0010,Gettysburg Area MS,493,1,0,1,0.20%
Adams,112013753,Gettysburg Area SD,9999,Gettysburg Area SD,9,1,0,1,11.11%
Adams,112015203,Littlestown Area SD,0014,Littlestown SHS,605,4,1,5,0.83%
Adams,112015203,Littlestown Area SD,0013,Maple Avenue MS,319,0,0,0,0.00%
Adams,112018523,Upper Adams SD,0018,Arendtsville El Sch,1,0,0,0,0.00%
Adams,112018523,Upper Adams SD,0019,Bendersville El Sch,1,0,0,0,0.00%
Adams,112018523,Upper Adams SD,0021,Biglerville HS,544,3,0,3,0.55%
Adams,112018523,Upper Adams SD,7437,Upper Adams MS,256,0,0,0,0.00%
Adams,112018523,Upper Adams SD,9999,Upper Adams SD,5,0,0,0,0.00%
Allegheny,103020603,Allegheny Valley SD,9999,Allegheny Valley SD,10,0,0,0,0.00%
Allegheny,103020603,Allegheny Valley SD,0029,Springdale JSHS,414,1,2,3,0.72%
Allegheny,103020753,Avonworth SD,5199,Avonworth HS,495,1,2,3,0.61%
Allegheny,103020753,Avonworth SD,7669,Avonworth MS,271,0,0,0,0.00%
Allegheny,103020753,Avonworth SD,9999,Avonworth SD,7,0,0,0,0.00%
Allegheny,103021102,Baldwin-Whitehall SD,0050,Baldwin SHS,"1,453",9,2,11,0.76%
Allegheny,103021102,Baldwin-Whitehall SD,6787,Harrison MS,641,0,0,0,0.00%
Allegheny,103021252,Bethel Park SD,0062,Bethel Park HS,"1,391",3,3,6,0.43%
Allegheny,103021252,Bethel Park SD,0061,Independence MS,683,0,0,0,0.00%
Allegheny,103021453,Brentwood Borough SD,9999,Brentwood Borough SD,20,0,0,0,0.00%
Allegheny,103021453,Brentwood Borough SD,7342,Brentwood MS,209,0,0,0,0.00%
Allegheny,103021453,Brentwood Borough SD,0070,Brentwood SHS,343,1,0,1,0.29%
Allegheny,103021603,Carlynton SD,0079,Carlynton JSHS,585,8,0,8,1.37%
Allegheny,103021603,Carlynton SD,9999,Carlynton SD,4,0,0,0,0.00%
Allegheny,103021752,Chartiers Valley SD,6706,Chartiers Valley HS,983,2,1,3,0.31%
Allegheny,103021752,Chartiers Valley SD,0094,Chartiers Valley MS,495,0,0,0,0.00%
Allegheny,103021752,Chartiers Valley SD,9999,Chartiers Valley SD,12,0,0,0,0.00%
Allegheny,102020001,City CHS,7727,City CHS,556,0,0,0,0.00%
Allegheny,103021903,Clairton City SD,8094,Clairton MS/HS,323,7,3,10,3.10%
Allegheny,103022103,Cornell SD,8087,Cornell HS,263,0,0,0,0.00%
Allegheny,103022253,Deer Lakes SD,0513,Deer Lakes HS,565,3,3,6,1.06%
Allegheny,103022253,Deer Lakes SD,7595,Deer Lakes MS,294,0,0,0,0.00%
Allegheny,103022253,Deer Lakes SD,9999,Deer Lakes SD,36,0,0,0,0.00%
Allegheny,103022803,East Allegheny SD,8340,East Allegheny JSHS,741,8,1,9,1.21%
Allegheny,103023153,Elizabeth Forward SD,4804,Elizabeth Forward MS,373,0,0,0,0.00%
Allegheny,103023153,Elizabeth Forward SD,9999,Elizabeth Forward SD,11,0,0,0,0.00%
Allegheny,103023153,Elizabeth Forward SD,0144,Elizabeth Forward SHS,704,5,1,6,0.85%
