County,AUN,LEA,Oct 1 Enrollment Grades 7-12,Male Dropouts,Female Dropouts,Dropouts,Dropout Rate
Adams,112011103,Bermudian Springs SD,926,2,3,5,0.54%
Adams,112011603,Conewago Valley SD,"1,825",8,6,14,0.77%
Adams,112013054,Fairfield Area SD,490,0,0,0,0.00%
Adams,112013753,Gettysburg Area SD,"1,610",8,3,11,0.68%
Adams,112015203,Littlestown Area SD,924,4,1,5,0.54%
Adams,112018523,Upper Adams SD,807,3,0,3,0.37%
Allegheny,103020603,Allegheny Valley SD,424,1,2,3,0.71%
Allegheny,103020753,Avonworth SD,773,1,2,3,0.39%
Allegheny,103021102,Baldwin-Whitehall SD,"2,094",9,2,11,0.53%
Allegheny,103021252,Bethel Park SD,"2,074",3,3,6,0.29%
Allegheny,103021453,Brentwood Borough SD,572,1,0,1,0.17%
Allegheny,103021603,Carlynton SD,589,8,0,8,1.36%
Allegheny,103021752,Chartiers Valley SD,"1,490",2,1,3,0.20%
Allegheny,102020001,City CHS,556,0,0,0,0.00%
Allegheny,103021903,Clairton City SD,323,7,3,10,3.10%
Allegheny,103022103,Cornell SD,263,0,0,0,0.00%
Allegheny,103022253,Deer Lakes SD,895,3,3,6,0.67%
Allegheny,103022803,East Allegheny SD,741,8,1,9,1.21%
Allegheny,103023153,Elizabeth Forward SD,"1,088",5,1,6,0.55%
Allegheny,199025446,Environmental Charter School at Frick Pa,155,0,0,0,0.00%
Allegheny,103023912,Fox Chapel Area SD,"1,912",1,3,4,0.21%
Allegheny,103024102,Gateway SD,"1,578",14,5,19,1.20%
Allegheny,103024603,Hampton Township SD,"1,449",3,0,3,0.21%
Allegheny,103024753,Highlands SD,"1,161",31,23,54,4.65%
Allegheny,103025002,Keystone Oaks SD,891,3,1,4,0.45%
Allegheny,102023030,Manchester Academic CS,71,0,0,0,0.00%
Allegheny,103026002,McKeesport Area SD,"1,514",30,16,46,3.04%
Allegheny,103026303,Montour SD,"1,320",3,2,5,0.38%
Allegheny,103026343,Moon Area SD,"1,784",6,3,9,0.50%
Allegheny,103026402,Mt Lebanon SD,"2,703",0,2,2,0.07%
Allegheny,103026852,North Allegheny SD,"4,093",0,0,0,0.00%
Allegheny,103026902,North Hills SD,"1,937",4,5,9,0.46%
Allegheny,103026873,Northgate SD,455,2,2,4,0.88%
Allegheny,102023217,Passport Academy CS,169,29,31,60,35.50%
Allegheny,103022481,Penn Hills Charter School of Entrepreneu,82,0,0,0,0.00%
Allegheny,103027352,Penn Hills SD,"1,689",13,10,23,1.36%
Allegheny,115220003,Pennsylvania Distance Learning CS,541,29,24,53,9.80%
Allegheny,103021003,Pine-Richland SD,"2,252",1,0,1,0.04%
Allegheny,102027451,Pittsburgh SD,"9,771",88,52,140,1.43%
Allegheny,103027503,Plum Borough SD,"1,764",5,4,9,0.51%
Allegheny,103024952,Propel CS - Hazelwood,56,0,0,0,0.00%
Allegheny,160028259,Propel CS-Braddock Hills,447,3,4,7,1.57%
Allegheny,103020005,Propel CS-East,80,0,0,0,0.00%
Allegheny,103020002,Propel CS-Homestead,272,4,3,7,2.57%
Allegheny,103020003,Propel CS-McKeesport,81,0,0,0,0.00%
Allegheny,103020004,Propel CS-Montour,222,1,4,5,2.25%
Allegheny,103028192,Propel CS-Northside,81,0,0,0,0.00%
Allegheny,103024162,Propel CS-Pitcairn,70,0,0,0,0.00%
Allegheny,103027753,Quaker Valley SD,975,0,0,0,0.00%
Allegheny,103028203,Riverview SD,414,3,3,6,1.45%
Allegheny,103028302,Shaler Area SD,"1,972",6,3,9,0.46%
Allegheny,103028653,South Allegheny SD,722,3,8,11,1.52%
Allegheny,103028703,South Fayette Township SD,"1,519",2,0,2,0.13%
